objectid	provinsi	kabkot	jumlah_kec	jumlah_des	jumlah_kel	jumlah_pen	jumlah_kk	luas_wilay	kepadatan_	perpindaha	jumlah_men	perubahan_	wajib_ktp	islam	kristen	katholik	hindu	budha	konghucu	kepercayaa	pria	wanita	belum_kawi	kawin	cerai_hidu	cerai_mati	u0	u5	u10	u15	u20	u25	u30	u35	u40	u45	u50	u55	u60	u65	u70	u75	lahir_thn3	lahir_seb3	pertumbuha	pertumbuh2	pertumbuh3	pertumbuh4	pertumbuh5	pendidikan	pendidika2	pendidika3	pendidika4	pendidika5	pendidika6	tidak_belu	belum_tama	tamat_sd	sltp	slta	diploma_i_	diploma_ii	diploma_iv	strata_ii	strata_iii	a	b	ab	o	a_	a_2	b_	b_2	ab_	ab_2	o_	o_2	tidak_di_k	belum_tida	aparatur_p	tenaga_pen	wiraswasta	pertanian_	nelayan	agama_dan_	pelajar_ma	tenaga_kes	pensiunan	lainnya	generated_	f4_18_tahun_pendidikan_khusus	f5_6_tahun_paud	f7_12_tahun_sd	f12_15_tahun_smp	f16_18_tahun_sma
664	LAMPUNG	TULANG BAWANG BARAT	9	93	3	300328	102953	1281.45	234	1361	78	241777	216627	286555	6991	2276	4150	332	0	24	153331	146997	124468	162419	2469	10972	21557	26984	28007	18993	23205	24374	25053	25061	22835	20270	17524	14907	11595	7532	5217	7214	4669	286482	2	2	2	1	0	10476	33715	15728	9984	11237	21710	66936	28101	93365	55815	46854	823	1958	6174	292	10	4898	4394	1873	7329	181	10	160	11	84	56	203	661	280468	82104	3482	1090	48251	79113	71	74	35275	464	309	50095	30 Juni 2022	68199	9907	32030	13599	7910
665	LAMPUNG	PESISIR BARAT	11	116	2	167339	48348	2993.8	56	469	81	140954	114517	165347	322	102	1561	3	0	4	86887	80452	80637	79704	1228	5770	14324	16769	16899	13028	14042	13563	12916	13219	11996	10175	8534	7444	5723	3734	2435	2538	3138	158047	2	2	2	2	0	6798	20300	9818	7037	7525	13739	48429	16616	43759	25879	27291	646	963	3600	145	11	619	324	158	588	50	14	30	4	17	22	58	429	165026	53554	2193	386	17984	39584	1192	21	23974	254	224	27973	30 Juni 2022	47139	6428	19966	9416	8015
666	LAMPUNG	KOTA BANDAR LAMPUNG	20	0	126	1092506	332618	183.72	5947	5483	636	862840	793855	1021430	36566	17658	3047	13769	27	9	554638	537868	551078	495822	11727	33879	77685	95883	97335	91523	92191	92973	96948	90319	80924	69975	60918	49901	38566	25687	14972	16706	17407	1042316	2	2	2	1	0	37343	118049	56831	53757	54520	93723	247450	109199	134208	145868	322239	8294	26770	87667	10175	636	69073	61915	25676	103271	4626	73	774	73	575	232	664	1749	823805	306932	47973	9539	300325	7527	3513	540	198488	4048	9258	204363	30 Juni 2022	296520	38806	123060	58366	57801
667	LAMPUNG	KOTA METRO	5	0	22	173478	54112	73.21	2370	1931	80	148239	127397	163066	4290	4026	388	1695	6	7	87331	86147	78530	84700	3026	7222	12348	14567	14975	13431	13824	13978	13019	13215	13359	12849	11200	8777	7176	4757	2789	3214	2725	165355	2	2	1	1	0	5709	18073	8567	7908	8228	14274	45651	12568	21641	25338	46414	2084	4301	14178	1240	63	18893	20830	7121	36575	5547	16	6263	19	1625	23	6466	96	70004	51383	9424	1812	43025	7645	99	124	24940	794	1245	32987	30 Juni 2022	42885	5790	17894	8358	8145
668	KEPULAUAN BANGKA BELITUNG	BANGKA	8	62	19	324232	103042	3016.85	107	1087	206	271307	228332	280249	7700	3522	37	23653	8025	1046	166227	158005	154799	149718	5349	14366	24343	30775	31612	25719	25980	22947	26274	27617	26861	21517	17331	13426	11439	8747	5063	4581	5550	308255	2	2	2	1	0	11396	38617	18658	14097	14749	27125	92509	33803	82302	40835	58995	1377	4222	9669	493	27	17600	14318	6390	26090	710	36	712	32	347	34	981	302	256680	101942	8262	1276	67152	22382	3329	80	44350	488	2027	72943	30 Juni 2022	89947	12027	37639	18235	16594
669	KEPULAUAN BANGKA BELITUNG	BELITUNG	5	42	7	183353	62347	2270.7	81	347	83	165512	133684	168654	3225	1243	772	9268	181	10	93024	90329	79148	90827	5263	8115	13727	15472	16049	13327	15140	14462	14152	14814	15223	13199	10872	8805	6962	5080	3087	2982	2921	174028	2	2	2	2	0	5874	19486	9097	7317	7562	14966	34418	30536	44781	26010	36926	1029	3153	6278	219	3	16027	17611	7393	33462	10394	29	11998	72	3130	27	13469	86	69655	38586	5416	396	43971	5836	7230	38	33875	167	1106	46732	30 Juni 2022	43871	6146	19132	8837	7001
670	KEPULAUAN BANGKA BELITUNG	BANGKA SELATAN	8	50	3	201948	65412	3598.24	56	660	116	178680	141812	195628	1341	829	262	1453	2435	0	104001	97947	91385	101219	2087	7257	14348	19465	20508	15194	17019	15928	17802	18664	17047	13152	10839	8203	6134	3478	2116	2051	3351	192758	2	2	2	1	0	7315	24647	11887	7672	8842	16910	49014	23568	77590	20647	24648	456	1510	4383	129	3	2171	1956	869	2845	194	8	170	5	74	15	233	235	193173	52894	3786	478	27045	32061	3224	20	32698	62	219	49461	30 Juni 2022	54712	7518	23855	11018	8850
671	KEPULAUAN BANGKA BELITUNG	BANGKA TENGAH	6	56	7	200110	62458	2259.98	89	399	101	183732	138453	176817	5063	5041	63	6035	7091	0	103372	96738	99820	89827	2400	8063	15550	19870	20421	16426	16226	14751	17547	18510	16171	12439	9719	7668	6426	4048	2195	2143	3488	189837	2	2	2	1	0	7477	24921	11795	8958	9652	16706	41632	28790	71313	22368	28476	487	1803	5056	178	7	3331	3315	1448	5074	706	14	90	10	48	12	121	209	185732	41887	3515	648	39934	15861	3549	46	47271	202	285	46911	30 Juni 2022	56705	7683	24558	11417	9498
672	KEPULAUAN BANGKA BELITUNG	BANGKA BARAT	6	60	6	206937	65954	2851.41	73	742	83	195683	144808	191148	3022	1014	29	8008	3712	4	106552	100385	96576	98573	3293	8495	15115	19869	21376	16532	16946	14689	16907	18483	17499	13667	10624	8105	6702	4779	2954	2690	3462	197056	2	2	2	1	0	7607	25159	12382	8791	9757	17505	35563	30952	67354	30982	34429	872	1957	4706	117	5	3031	3330	1371	5373	65	9	78	9	64	33	65	170	193339	33268	4235	762	42222	16210	2531	41	57223	281	728	49436	30 Juni 2022	59292	7823	25540	11738	10478
673	KEPULAUAN BANGKA BELITUNG	BELITUNG TIMUR	7	39	0	127899	44597	2588.82	49	348	102	126412	93785	122576	1697	426	0	3032	167	1	65555	62344	53883	64275	3604	6137	9291	10838	10904	9934	10379	9361	9294	10250	11464	9672	7593	5997	4725	3606	2352	2239	1957	121598	2	2	2	1	0	3998	13563	6325	5496	5784	10758	26990	21015	34219	17908	21610	788	1631	3620	113	5	10948	10236	4102	21138	189	49	207	49	170	39	244	197	80331	29639	3441	271	32391	3592	3452	26	21583	128	536	32838	30 Juni 2022	32339	4352	13232	6153	6668
